Тип агента;Наименование агента;Электронная почта агента;Телефон агента;Логотип агента;Юридический адрес;Приоритет;Директор;ИНН;КПП
МФО;СервисПив;email: znosov@vasilev.ru;+7 (922) 325-12-93;нет;840377, Рязанская область, город Щёлково, пл. Бухарестская, 42;329 в приоритете на поставку;Никита Александрович Королёв;6861024038;218034630
ООО;СантехСеверЛенМашина;email: pgorbacev@vasilev.net;(812) 214-73-94;\agents\agent_99.png;606990, Новосибирская область, город Павловский Посад, въезд Домодедовская, 38;201;Павел Максимович Рожков;3506691089;830713603
ЗАО;ЭлектроРемОрионЛизинг;email: anfisa.fedotova@tvetkov.ru;phone: (495) 513-93-16;\agents\agent_93.png;594365, Ярославская область, город Павловский Посад, бульвар Космонавтов, 64;Приоритет = 198;Тарасова Дан Львович;1340072597;500478249
ЗАО;РыбАлмазГаражСнаб;diana.gorbunov@gromov.ru;phone: (35222) 46-54-74;\agents\agent_29.png;278792, Воронежская область, город Люберцы, ул. Космонавтов, 07;50;Власов Ян Львович;2135119617;916748563
МКК;CибБашкирТекстиль;vzimina@zdanova.com;phone: (35222) 92-28-68;\agents\agent_94.png;429540, Мурманская область, город Воскресенск, пл. Славы, 36;218 в приоритете на поставку;Григорий Владимирович Елисеева;7392007090;576103661
ОАО;ЮпитерТяжОрионЭкспедиция;gblokin@orlov.net;(812) 819-51-58;\agents\agent_69.png;960726, Томская область, город Орехово-Зуево, въезд 1905 года, 51;446 в приоритете на поставку;Валерий Евгеньевич Виноградов;6843174002;935556458
ОАО;КазаньТекстиль;osimonova@andreeva.com;+7 (922) 936-37-67;\agents\agent_72.png;231891, Челябинская область, город Шатура, бульвар Ладыгина, 40;Приоритет = 156;Александров Бронислав Максимович;4584384019;149680499
ОАО;МясИнфоМясТраст;dgulyev@krasilnikov.ru;phone: (812) 375-59-29;\agents\agent_43.png;873144, Курская область, город Талдом, проезд Домодедовская, 46;16;Лихачёваа Оксана Романовна;6387079446;113956342
МКК;АвтоТомскЦементЦентр;kabanov.valentina@subbotina.ru;(35222) 24-98-18;\agents\agent_40.png;282009, Вологодская область, город Красногорск, пл. Домодедовская, 14;71 в приоритете на поставку;Леонид Иванович Афанасьева;8317739640;940326934
ПАО;Радио;rtretykova@kozlov.ru;(35222) 84-44-92;\agents\agent_68.png;798718, Ленинградская область, город Пушкино, бульвар Балканская, 37;221;Эмма Андреевна Колесникова;9077613654;657690787
