Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Замена жидкости в кондиционере; Услуги автосервиса\Кондиционер.jpg; 8 час.; 3040; 25%
Ремонт и замена коллектора; Услуги автосервиса\Выхлопная система.jpg; 150 мин.; 2770; 15%
Замена актуатора сцепления; Услуги автосервиса\Сцепление.jpg; 330 мин.; 4100₽; 15%
Замена жидкости ГУР; Услуги автосервиса\ГУР.png; 9 час.; 2380 рублей; 20%
Заправка кондиционеров; Услуги автосервиса\Кондиционер.jpg; 2 час.; 4860₽; 5%
Замена масла в вариаторе; Услуги автосервиса\Вариатор.jpg; 2 час.; 4720 руб.; 5%
Ремонт двигателя; Услуги автосервиса\Двигатель.png; 4 час.; 2470 рублей; 25%
Замена заднего сальника АКПП; Услуги автосервиса\АКПП.jpg; 390 мин.; 1510 руб.; 25%
Покраска; Услуги автосервиса\Дополнительные услуги.png; 2 час.; 2370 рублей; 15%
Мойка колес; Услуги автосервиса\Шиномонтаж.jpg; 570 мин.; 3490 руб.; нет
Замена прокладки впускного-выпуского коллектора; Услуги автосервиса\Выхлопная система.jpg; 3 час.; 2980 руб.; нет
Диагностика работы двигателя; Услуги автосервиса\Двигатель.png; 150 мин.; 2760₽; 10%
Установка сигнализации; Услуги автосервиса\Электрика.png; 4 час.; 1760 руб.; нет
Замена компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 270 мин.; 2720 руб.; 10%
Замена ремня привода ГУР; Услуги автосервиса\ГУР.png; 10 час.; 3350 рублей; нет
Замена тормозных колодок; Услуги автосервиса\Техническое обслуживание.png; 8 час.; 4260 рублей; 5%
Замена масла; Услуги автосервиса\Техническое обслуживание.png; 510 мин.; 1430; 25%
Замена цепи ГРМ; Услуги автосервиса\Двигатель.png; 6 час.; 4570 руб.; 20%
Замена бензонасоса; Услуги автосервиса\Топливная система.png; 4 час.; 1780 руб.; 10%
Ремонт приводного вала; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 210 мин.; 4520₽; 5%
Замена подшипника компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 330 мин.; 1110₽; 20%
Снятие и установка колес; Услуги автосервиса\Шиномонтаж.jpg; 390 мин.; 3130; нет
